,type,open_ts,open_price,close_ts,close_price,duration,profit,balance
81,short,2024-11-21 21:35:00,0.38539,2024-11-21 21:40:00,0.38373,5,0.008594182527745662,9.368994146262354
82,long,2024-11-21 21:40:00,0.38373,2024-11-21 23:05:00,0.38759,85,0.0462300641105791,9.415224210372934
83,short,2024-11-21 23:05:00,0.38759,2024-11-21 23:20:00,0.38634,15,0.0015045314035284224,9.416728741776462
84,long,2024-11-21 23:20:00,0.38634,2024-11-21 23:25:00,0.38635,5,-0.019604681571450497,9.39712406020501
85,short,2024-11-21 23:25:00,0.38635,2024-11-22 00:40:00,0.38411,75,0.01844236978786583,9.415566429992877
86,long,2024-11-22 00:40:00,0.38411,2024-11-22 00:45:00,0.3846,5,-0.0113732472957998,9.404193182697076
87,short,2024-11-22 00:45:00,0.3846,2024-11-22 00:50:00,0.38274,5,0.012119378880547527,9.416312561577623
88,long,2024-11-22 00:50:00,0.38274,2024-11-22 01:20:00,0.38427,30,0.006548536855509305,9.422861098433133
89,short,2024-11-22 01:20:00,0.38427,2024-11-22 01:25:00,0.38445,5,-0.02288080186046329,9.39998029657267
90,long,2024-11-22 01:25:00,0.38445,2024-11-22 02:20:00,0.38784,55,0.0382229678709505,9.43820326444362
91,short,2024-11-22 02:20:00,0.38784,2024-11-22 02:30:00,0.3946,10,-0.13509002735346037,9.30311323709016
92,long,2024-11-22 02:30:00,0.3946,2024-11-22 02:35:00,0.40028,5,0.07410813795588685,9.377221375046048
93,short,2024-11-22 02:35:00,0.40028,2024-11-22 02:45:00,0.39766,10,0.023315284462449716,9.400536659508498
94,long,2024-11-22 02:45:00,0.39766,2024-11-22 02:55:00,0.39743,10,-0.023543301998241964,9.376993357510257
95,short,2024-11-22 02:55:00,0.39743,2024-11-22 03:00:00,0.39453,5,0.028252182837490526,9.405245540347748
96,long,2024-11-22 03:00:00,0.39453,2024-11-22 03:35:00,0.39119,35,-0.07543112769023852,9.329814412657509
97,short,2024-11-22 03:35:00,0.39119,2024-11-22 03:40:00,0.39258,5,-0.042821699284549354,9.28699271337296
98,long,2024-11-22 03:40:00,0.39258,2024-11-22 03:45:00,0.39367,5,-0.0014709727798412967,9.285521740593119
99,short,2024-11-22 03:45:00,0.39367,2024-11-22 03:50:00,0.39409,5,-0.02644112875435313,9.259080611838765
100,long,2024-11-22 03:50:00,0.39409,2024-11-22 03:55:00,0.39433,5,-0.01550088367435048,9.243579728164415
101,short,2024-11-22 03:55:00,0.39433,2024-11-22 04:00:00,0.39574,5,-0.042571146686086456,9.201008581478328
102,long,2024-11-22 04:00:00,0.39574,2024-11-22 04:05:00,0.39557,5,-0.022086117367076143,9.178922464111253
103,short,2024-11-22 04:05:00,0.39557,2024-11-22 04:15:00,0.39482,10,-0.007081300721029631,9.171841163390223
104,long,2024-11-22 04:15:00,0.39482,2024-11-22 05:20:00,0.3961,65,0.001532790698654498,9.173373954088877
105,short,2024-11-22 05:20:00,0.3961,2024-11-22 06:05:00,0.3939,45,0.016436805595647724,9.189810759684525
106,long,2024-11-22 06:05:00,0.3939,2024-11-22 06:20:00,0.39318,15,-0.031045322469056887,9.158765437215468
107,short,2024-11-22 06:20:00,0.39318,2024-11-22 06:25:00,0.39423,5,-0.03637167561325311,9.122393761602215
108,long,2024-11-22 06:25:00,0.39423,2024-11-22 12:00:00,0.39457,335,-0.01365526755698618,9.108738494045229
109,short,2024-11-22 12:00:00,0.39457,2024-11-22 12:20:00,0.39462,20,-0.01993714180776367,9.088801352237464
110,long,2024-11-22 12:20:00,0.39462,2024-11-22 12:25:00,0.39649,5,0.011031969669318804,9.099833321906782
111,short,2024-11-22 12:25:00,0.39649,2024-11-22 12:40:00,0.39435,15,0.015305295839863004,9.115138617746645
112,long,2024-11-22 12:40:00,0.39435,2024-11-22 12:50:00,0.39699,10,0.02353078754969665,9.138669405296342
113,short,2024-11-22 12:50:00,0.39699,2024-11-22 13:15:00,0.3995,25,-0.05967761293329436,9.078991792363048
114,long,2024-11-22 13:15:00,0.3995,2024-11-22 14:10:00,0.40396,55,0.05181338573010911,9.130805178093157
115,short,2024-11-22 14:10:00,0.40396,2024-11-22 14:15:00,0.39993,5,0.044652815336541196,9.175457993429697
116,long,2024-11-22 14:15:00,0.39993,2024-11-22 15:10:00,0.40212,55,0.015867464818012295,9.191325458247709
117,short,2024-11-22 15:10:00,0.40212,2024-11-22 15:20:00,0.40387,10,-0.047329817531851205,9.143995640715858
118,long,2024-11-22 15:20:00,0.40387,2024-11-22 16:00:00,0.40144,40,-0.05767611419279965,9.086319526523058
119,short,2024-11-22 16:00:00,0.40144,2024-11-22 16:20:00,0.40102,20,-0.012420127824304088,9.073899398698753
120,long,2024-11-22 16:20:00,0.40102,2024-11-22 16:25:00,0.40085,5,-0.02174511501131052,9.052154283687443
121,short,2024-11-22 16:25:00,0.40085,2024-11-22 16:30:00,0.39766,5,0.0314673974860814,9.083621681173524
122,long,2024-11-22 16:30:00,0.39766,2024-11-22 16:55:00,0.40795,25,0.1452957107762379,9.228917391949762
123,short,2024-11-22 16:55:00,0.40795,2024-11-22 17:05:00,0.41215,10,-0.08595788095247191,9.14295951099729
124,long,2024-11-22 17:05:00,0.41215,2024-11-22 17:50:00,0.40751,45,-0.09118040703721585,9.051779103960074
125,short,2024-11-22 17:50:00,0.40751,2024-11-22 18:00:00,0.40745,10,-0.01807488198691111,9.033704221973164
126,long,2024-11-22 18:00:00,0.40745,2024-11-22 18:10:00,0.40795,10,-0.011218576924278429,9.022485645048885
127,short,2024-11-22 18:10:00,0.40795,2024-11-22 18:15:00,0.40936,5,-0.04079817836666262,8.981687466682223
128,long,2024-11-22 18:15:00,0.40936,2024-11-22 18:20:00,0.40612,5,-0.06857352508334769,8.913113941598874
129,short,2024-11-22 18:20:00,0.40612,2024-11-22 18:30:00,0.40796,10,-0.04701353762153113,8.866100403977343
130,long,2024-11-22 18:30:00,0.40796,2024-11-22 18:40:00,0.40729,10,-0.028801286797896397,8.837299117179446
131,short,2024-11-22 18:40:00,0.40729,2024-11-22 18:45:00,0.40661,5,-0.008219844671999158,8.829079272507448
132,long,2024-11-22 18:45:00,0.40661,2024-11-22 21:45:00,0.40665,180,-0.017933685922327292,8.81114558658512
133,short,2024-11-22 21:45:00,0.40665,2024-11-22 22:25:00,0.4165,40,-0.16805117818559312,8.643094408399527
134,long,2024-11-22 22:25:00,0.4165,2024-11-22 22:30:00,0.41816,5,0.005938895324252118,8.64903330372378
135,short,2024-11-22 22:30:00,0.41816,2024-11-22 22:35:00,0.41986,5,-0.04280100796408397,8.606232295759696
136,long,2024-11-22 22:35:00,0.41986,2024-11-22 23:25:00,0.40859,50,-0.17961901268811514,8.426613283071582
137,short,2024-11-22 23:25:00,0.40859,2024-11-22 23:45:00,0.41175,20,-0.06336100023380291,8.363252282837779
138,long,2024-11-22 23:45:00,0.41175,,,,,
